127.0.0.1 - - [09/Nov/2016:08:32:21 +0900] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:08:32:23 +0900] "GET /semi_project/forumDetail.jsp HTTP/1.1" 403 1106
0:0:0:0:0:0:0:1 - - [09/Nov/2016:08:32:23 +0900] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [09/Nov/2016:08:32:30 +0900] "GET /semi_project/forumList HTTP/1.1" 200 6794
0:0:0:0:0:0:0:1 - - [09/Nov/2016:08:32:30 +0900] "GET /semi_project/img/wikibee.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2016:08:32:30 +0900] "GET /semi_project/img/agora.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2016:08:32:46 +0900] "GET /semi_project/forumDetail?f_num=4&nowPage=1 HTTP/1.1" 200 12804
0:0:0:0:0:0:0:1 - - [09/Nov/2016:08:32:46 +0900] "GET /semi_project/img/twice_clock.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2016:08:32:46 +0900] "GET /semi_project/img/intel_man.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2016:08:32:50 +0900] "POST /semi_project/forumDetail HTTP/1.1" 200 13063
0:0:0:0:0:0:0:1 - - [09/Nov/2016:08:41:33 +0900] "POST /semi_project/forumDetail HTTP/1.1" 200 13349
0:0:0:0:0:0:0:1 - - [09/Nov/2016:08:42:11 +0900] "POST /semi_project/forumDetail HTTP/1.1" 200 13349
0:0:0:0:0:0:0:1 - - [09/Nov/2016:08:47:35 +0900] "POST /semi_project/forumDetail HTTP/1.1" 200 13478
0:0:0:0:0:0:0:1 - - [09/Nov/2016:08:48:07 +0900] "POST /semi_project/forumDetail HTTP/1.1" 200 13477
0:0:0:0:0:0:0:1 - - [09/Nov/2016:09:40:02 +0900] "POST /semi_project/forumDetail HTTP/1.1" 200 13261
0:0:0:0:0:0:0:1 - - [09/Nov/2016:09:40:03 +0900] "GET /semi_project/img/wikibee.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2016:09:40:03 +0900] "GET /semi_project/img/twice_clock.jpg HTTP/1.1" 304 -
